% class: {"招聘": 0, "生活服务": 1, "物业地产": 2, "汽车交通": 3, "社交": 4, "能源": 5, "硬件": 6, "安全": 7, "美业": 8, "旅游": 9, "法律": 10, "金融": 11, "婚恋": 12, "家装家居": 13, "农业": 14, "媒体娱乐": 15, "游戏": 16, "生物制药": 17, "云服务": 18, "教育培训": 19, "电子商务": 20, "医疗健康": 21, "市场营销": 22, "体育运动": 23}
@RELATION field 

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE 21 NUMERIC
@ATTRIBUTE 22 NUMERIC
@ATTRIBUTE 23 NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE 26 NUMERIC
@ATTRIBUTE 27 NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE 29 NUMERIC
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}

@DATA
1,5,1,0,-5,0,0,5,2,1,5,1,0,-5,0,0,-5,1,1,5,0,0,5,1,0,0,0,0,5,1,0
1,0,0,0,-5,0,0,5,1,0,-5,1,0,0,0,0,-5,1,1,1,0,0,5,1,0,0,0,1,-5,1,0
1,0,1,0,5,1,1,-5,1,0,-5,1,1,0,0,0,0,0,0,-5,1,1,5,1,1,1,1,1,5,0,0
1,5,1,0,-5,0,0,-5,1,1,-5,1,0,5,0,0,-5,1,1,5,1,0,5,1,1,5,1,1,5,1,0
1,5,1,0,-5,0,1,-5,1,1,5,1,0,5,0,0,5,1,0,5,1,1,5,0,1,5,1,0,-5,0,0
1,5,1,0,5,0,0,5,1,1,5,1,0,5,0,0,5,1,0,5,0,0,-5,1,0,0,0,0,-5,1,0
1,-5,1,0,-5,0,0,5,1,1,5,1,0,0,1,0,1,1,1,-5,0,1,5,1,0,5,1,0,-5,0,0
2,-5,0,0,-5,0,0,5,3,1,5,1,0,5,1,0,-5,2,1,5,0,1,5,1,0,5,0,0,-5,0,0
1,-5,0,0,-5,0,0,5,1,1,5,1,0,5,0,0,0,1,1,-5,0,1,-5,1,0,5,1,1,-5,0,0
1,0,1,0,5,0,0,-5,1,1,-5,1,0,0,0,1,0,1,0,-5,0,0,5,0,0,5,1,0,-5,0,0
1,-5,1,0,5,0,0,5,2,1,5,1,0,-5,0,0,-5,1,0,5,0,0,5,0,1,5,1,0,5,0,0
1,5,1,0,5,0,0,0,1,1,5,1,0,0,0,0,-5,1,0,5,0,0,-5,1,0,-5,0,1,-5,1,0
1,0,1,0,-5,0,0,0,1,1,-1,1,0,0,0,0,0,1,1,0,1,0,-5,1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,0,5,1,0,0,0,0,-5,1,1,1,1,1,1,1,0
1,0,1,0,-5,0,0,0,1,1,-1,1,0,0,0,0,1,1,0,0,0,0,-5,1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,0,5,1,0,0,0,0,-5,1,1,1,1,1,1,1,0
1,0,1,0,-5,0,0,0,1,1,-1,1,0,0,0,0,1,1,0,0,1,0,-5,1,1,1,1,1,1,1,0
1,0,1,0,-5,0,0,5,1,1,-1,1,0,0,0,0,0,1,0,5,1,0,-5,1,1,1,1,1,1,1,0
1,5,1,0,5,0,0,5,1,1,5,1,0,5,0,0,-5,1,1,5,0,0,-5,1,1,5,1,1,-5,1,0
2,-5,0,0,-5,0,0,5,3,1,5,2,0,5,0,0,-5,1,1,-5,0,0,-5,1,0,5,1,1,5,0,0
1,5,1,0,5,0,0,-5,2,1,5,1,0,-5,1,0,-5,1,0,-5,0,0,5,1,0,-5,1,1,5,0,0
1,-5,1,0,5,0,0,-5,2,1,5,1,0,-5,1,1,-5,1,0,-5,0,0,5,0,0,5,0,0,-5,0,0
2,5,0,0,5,0,0,-5,2,1,-5,1,0,-5,0,0,-5,1,1,0,0,0,5,1,0,-5,1,0,-5,1,0
1,5,1,0,5,0,0,-5,2,1,-5,1,0,-5,0,0,-5,1,0,5,0,1,5,1,1,-5,1,0,-5,0,0
2,5,0,0,-5,0,0,-5,2,1,5,1,0,5,1,0,-5,1,1,5,0,0,-5,1,0,5,0,1,-5,0,0
1,0,1,0,-5,0,0,-5,1,1,0,1,0,5,0,0,0,0,1,0,0,0,-5,1,1,0,1,1,-5,1,0
1,-5,1,0,5,0,0,-5,1,1,5,1,0,-5,1,1,1,1,0,1,0,0,5,0,0,5,0,0,-5,0,0
1,-5,1,0,1,0,1,5,1,0,5,0,0,-5,0,1,0,1,1,-5,0,0,0,0,0,-5,1,1,-5,0,0
1,0,1,0,-5,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,5,1,0,0,0,0,-5,0,0
1,-5,1,0,1,0,0,0,1,0,-5,1,0,0,0,0,0,1,1,1,1,0,-5,1,0,5,0,0,-5,0,0
1,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,1,1,-5,0,0,0,1,0,0,1,0,-5,0,0
1,5,1,0,1,0,0,-5,1,1,5,1,0,-5,1,0,0,1,1,-5,0,0,-5,1,1,5,1,0,-5,0,0
1,0,0,0,0,0,0,5,1,1,5,1,0,-5,1,0,1,1,1,-5,0,0,0,1,0,0,0,0,5,1,0
1,0,1,0,5,0,1,5,1,1,5,0,0,0,0,1,-5,1,0,-5,1,0,5,0,1,-5,1,1,5,0,0
1,5,1,0,1,0,0,-5,1,1,-5,1,0,0,0,0,-5,0,1,5,1,1,-5,0,0,0,0,0,0,0,0
1,0,0,1,-5,0,0,-5,1,1,5,1,0,5,0,0,5,1,1,5,0,1,5,1,0,0,0,0,-5,0,0
1,5,1,0,-5,0,0,5,1,1,-5,1,0,5,1,0,-5,1,0,5,0,1,5,1,0,-5,1,0,-5,0,0
1,0,0,0,5,0,0,0,1,1,-5,1,0,0,0,0,0,1,1,-5,0,0,5,1,1,5,0,0,-5,0,0
1,0,1,0,5,0,0,5,1,1,5,1,0,0,1,0,1,1,1,-5,0,0,1,1,0,0,0,0,0,0,0
1,-5,0,0,-5,0,0,5,1,1,5,1,0,5,1,0,-5,1,1,-5,0,0,5,1,1,-5,1,1,5,1,0
1,0,1,0,-5,0,0,-5,1,1,0,1,0,0,0,0,-5,1,0,5,0,0,5,1,1,0,1,1,-5,1,0
2,0,0,0,-5,0,0,-5,2,1,5,1,0,-5,1,0,5,1,1,-5,0,0,-5,1,0,5,1,1,-5,1,0
1,0,0,0,-5,0,0,5,1,1,-5,1,0,5,0,0,5,1,1,1,0,0,5,1,1,-5,0,1,-5,0,0
1,5,1,0,5,0,0,5,1,0,5,0,0,0,0,1,1,1,1,-5,0,0,0,1,0,5,1,0,-5,1,0
1,0,1,0,5,0,0,-5,1,1,5,1,0,-5,0,0,0,1,0,-5,0,1,5,0,0,0,1,0,0,0,0
1,0,1,0,5,0,0,-5,1,1,-5,1,0,-5,0,0,5,1,0,5,0,1,-5,0,0,5,1,0,0,0,0
1,0,1,0,5,0,1,-5,1,1,0,1,1,-5,0,0,-5,1,0,-5,0,1,0,1,1,5,1,1,1,1,0
1,5,1,0,-5,0,0,0,1,1,-5,1,0,5,1,0,5,1,0,0,0,1,5,1,0,-5,1,0,5,0,0
1,-5,0,0,-5,0,0,5,1,1,5,1,0,5,1,0,-5,1,1,-5,0,1,-5,1,0,-5,1,1,5,0,0
1,5,0,0,5,0,0,-5,1,1,5,1,0,0,1,0,5,1,1,5,0,0,5,1,0,-5,1,1,-5,1,0
1,0,0,0,5,0,0,-5,1,1,5,1,0,0,0,0,-5,1,1,5,0,0,-5,1,0,0,0,0,-5,0,0
1,5,1,0,-5,0,0,5,1,1,-1,1,0,-5,1,0,1,1,0,-5,0,1,5,0,0,0,1,0,-5,0,0
1,5,0,1,-5,0,0,5,1,1,-5,1,0,4,0,0,-5,1,1,-5,0,0,5,0,0,5,1,1,5,0,0
1,0,0,0,-5,0,0,0,1,0,5,1,0,0,0,0,-5,0,1,-5,0,0,5,1,0,0,1,1,-5,1,0
1,0,1,0,-5,0,0,5,1,1,0,1,0,-5,1,1,5,1,0,5,0,0,5,0,0,5,1,1,5,0,0
1,5,1,0,5,1,1,-5,1,1,-5,1,1,1,0,1,-5,0,0,5,0,0,5,0,0,1,1,1,-5,0,0
1,-5,1,0,5,0,0,5,1,1,5,1,0,5,0,0,-5,1,0,-5,1,1,-5,0,0,5,1,0,5,0,0
1,0,1,0,-5,0,0,-5,1,1,5,1,0,0,0,0,5,1,0,0,0,0,5,1,1,-5,0,0,5,1,0
1,-5,0,0,-5,0,0,-5,1,1,-5,1,0,5,1,0,-5,1,1,-5,0,1,5,1,1,5,1,0,-5,0,0
1,-5,1,1,-5,0,0,-5,1,1,-5,1,0,-5,0,0,5,1,0,5,0,0,5,1,0,-5,0,0,-5,0,0
1,5,1,0,0,0,0,5,1,1,0,1,0,0,0,0,-5,0,0,5,0,0,0,1,0,1,1,1,1,1,0
1,0,1,0,-5,0,0,5,1,1,5,1,0,0,0,0,-5,1,1,0,0,0,5,1,0,0,0,1,-5,1,0
1,5,1,0,5,0,0,-5,1,1,-5,0,0,-5,0,1,-5,0,1,5,0,0,5,1,0,-5,0,1,5,1,0
1,0,1,0,5,0,0,-5,1,1,5,1,0,-5,1,0,1,1,0,5,0,0,5,1,0,-5,1,0,0,0,0
1,5,1,0,5,0,0,5,1,1,5,1,0,-5,1,0,-5,1,0,-5,0,0,-5,0,1,-5,1,0,5,0,0
5,-5,1,0,5,0,0,5,4,1,-5,2,-1,-5,0,1,-5,1,0,-5,1,2,5,0,0,5,1,1,-5,0,0
1,5,0,0,5,0,0,5,1,1,-5,1,0,0,0,0,-5,1,0,-5,0,0,5,1,1,5,0,0,-5,0,0
1,5,1,0,0,0,0,5,1,1,5,1,0,-5,0,0,-5,1,0,-5,0,0,-5,0,0,5,1,0,1,0,0
1,0,1,0,5,0,0,-5,1,1,-1,1,0,0,0,0,-5,1,1,0,1,0,5,1,1,0,1,1,-5,1,0
2,5,1,0,5,1,1,-5,1,1,5,1,0,-5,0,0,-5,1,0,-5,1,1,5,1,1,-5,1,0,-5,0,0
2,5,1,0,1,0,0,-5,2,1,5,1,0,-5,0,0,5,0,1,-5,1,1,5,0,0,5,0,0,5,0,0
1,5,1,0,5,0,0,-5,1,1,-5,1,0,0,0,1,-5,1,1,5,0,0,5,0,0,-5,0,0,-5,0,0
2,0,1,1,5,0,0,5,1,1,5,1,0,-5,0,0,-5,0,1,5,0,0,-5,1,0,-5,0,1,5,1,0
1,-5,0,0,5,0,0,0,1,1,5,1,0,5,0,0,5,1,1,0,0,0,-5,1,1,5,0,0,-5,0,0
3,-5,1,0,5,0,0,5,3,2,-5,2,0,-5,0,1,5,1,0,5,1,0,5,1,2,5,1,2,-5,1,0
1,0,0,0,0,0,0,-5,1,1,-5,1,0,5,0,0,-5,1,1,-5,0,0,5,1,0,5,0,1,-5,1,0
1,0,0,0,5,0,0,-5,1,1,-5,1,0,5,0,0,0,1,1,-5,0,0,0,1,1,-5,1,1,-5,1,0
1,0,1,0,1,0,0,-5,1,0,5,1,1,0,0,0,0,0,1,-5,1,0,-5,1,0,0,1,1,5,1,0
1,5,1,0,-5,0,0,0,1,1,0,1,0,0,0,0,-5,1,0,5,0,1,5,0,1,-5,1,1,-5,0,0
1,-5,1,0,5,0,0,5,1,1,5,1,0,5,1,0,1,1,0,-5,0,1,-5,1,0,5,1,0,-5,0,0
2,5,1,0,-5,0,0,5,2,1,5,1,0,5,1,0,5,1,1,-5,1,1,-5,0,0,-5,0,0,-5,0,0
3,-5,1,-1,-5,0,0,5,4,3,-5,2,0,5,0,1,-5,1,0,5,0,0,5,1,1,-5,1,1,5,1,0
1,0,1,0,-5,0,0,5,1,1,0,1,1,0,0,0,0,0,1,-5,1,0,5,1,1,0,1,1,-5,1,0
1,5,1,0,5,0,1,-5,1,1,-5,1,0,-5,0,1,-5,1,0,5,0,1,5,0,0,-5,1,0,5,0,0
1,-5,1,0,1,1,0,5,1,0,5,1,0,-5,0,1,-5,1,0,5,0,0,-5,0,0,5,1,1,0,0,0
1,0,1,0,5,0,0,-5,1,1,-5,1,0,-5,0,1,-5,0,1,-5,1,1,-5,1,1,5,1,1,5,1,0
1,5,0,0,-5,0,0,-5,1,0,5,1,0,-5,0,0,0,1,1,5,0,0,5,0,1,5,0,0,5,1,0
1,-5,1,0,5,0,0,5,1,1,5,1,1,5,1,1,5,0,0,5,0,1,5,1,1,-5,1,1,-5,0,0
1,5,1,0,5,0,0,5,1,0,-5,0,0,0,0,0,5,0,1,-5,0,0,-5,1,0,5,0,1,-5,1,0
1,-5,1,0,5,1,0,-5,1,1,5,1,0,-5,0,0,5,0,1,-5,0,1,-5,0,1,-5,0,1,-5,0,0
2,-5,0,0,5,0,0,5,1,0,5,1,0,5,1,0,-5,0,0,-5,1,1,5,1,0,5,1,1,-5,0,0
1,-5,0,0,5,0,0,5,1,1,5,1,0,5,0,0,-5,1,1,5,0,0,-5,1,0,5,0,0,5,0,0
2,-5,0,0,-5,0,0,-5,1,0,5,1,1,5,0,0,5,0,1,5,0,0,-5,1,0,-5,0,1,5,1,0
1,0,0,0,-5,0,0,-5,1,0,5,1,0,0,1,0,5,1,1,1,0,1,5,1,0,5,1,0,-5,0,0
1,0,0,0,0,0,0,-5,1,1,5,1,0,-5,0,0,-5,1,1,-5,1,1,5,1,1,-5,1,1,5,0,0
1,5,1,1,-5,0,1,5,1,1,0,1,0,-5,0,0,-5,1,0,5,0,1,5,1,1,0,1,1,5,1,0
2,0,0,0,-5,0,0,-5,1,0,5,1,0,-5,0,0,0,0,1,-5,0,0,-5,1,0,5,0,1,-5,1,0
1,-5,0,0,-5,0,0,-5,1,0,5,1,0,5,0,0,-5,1,1,-5,0,1,5,1,0,-5,1,0,5,0,0
2,5,1,0,5,0,0,-5,1,1,5,1,0,-5,0,0,-5,0,0,5,0,1,-5,1,1,-5,1,1,-5,1,0
2,5,0,0,5,0,0,5,2,1,-5,1,0,-5,1,1,-5,1,0,-5,0,1,5,0,0,-5,0,0,-5,0,0
2,5,1,0,5,0,0,-5,3,1,5,1,0,5,1,1,-5,1,0,-5,1,1,5,0,0,-5,1,1,-5,0,0
1,-5,1,0,-5,0,0,-5,1,1,-5,1,0,5,0,1,-5,0,1,5,1,0,-5,1,1,5,1,1,-5,1,0
1,5,1,0,0,0,1,5,1,1,5,1,0,5,1,0,1,0,1,5,0,1,-5,1,1,5,1,0,-5,1,0
1,0,1,0,-5,0,0,5,1,1,5,1,0,5,0,0,-5,1,0,5,0,0,5,1,0,5,0,0,-5,0,0
1,-5,1,1,1,0,0,-5,1,1,5,1,0,5,0,0,-5,1,1,5,0,0,5,1,1,5,0,0,-5,1,0
1,5,0,0,-5,0,0,-5,1,0,-5,1,1,5,0,0,-5,0,1,5,1,0,5,1,1,5,1,1,-5,0,0
1,0,0,1,1,1,0,-5,1,0,5,1,0,0,0,0,-5,0,0,5,0,0,0,1,1,5,1,1,-5,1,0
1,5,1,0,5,0,0,5,1,1,5,1,0,5,0,0,-5,1,0,-5,0,0,1,1,1,0,0,0,-5,1,0
1,5,1,1,-5,0,0,-5,1,1,-5,1,0,5,0,1,5,1,1,5,0,0,-5,1,1,5,0,0,-5,1,0
1,0,0,1,5,0,0,-5,1,0,-5,1,0,0,0,0,0,1,1,5,0,0,-5,1,0,5,0,1,1,1,0
2,-5,0,0,5,0,0,5,2,1,5,1,0,5,0,1,-5,1,0,-5,0,0,-5,0,1,-5,0,0,-5,1,0
1,0,1,0,5,1,0,5,1,0,5,1,0,0,0,0,0,1,1,-5,0,0,5,1,0,0,0,1,-5,1,0
1,-5,1,1,5,1,1,5,1,0,-5,1,0,4,0,0,-5,1,1,5,1,1,5,1,1,5,0,0,-5,0,0
1,-5,1,0,5,0,0,-5,1,1,-5,1,0,5,0,1,0,1,0,5,0,1,0,0,1,-5,1,1,5,0,0
1,0,1,0,5,1,1,-5,1,0,-5,1,0,-5,0,1,5,1,0,-5,0,0,5,1,0,5,1,1,-5,0,0
1,0,1,0,-5,0,0,-5,1,1,5,1,0,5,0,1,0,1,1,1,1,0,5,1,1,1,1,1,-5,1,0
1,-5,0,1,0,0,0,5,1,1,-5,1,0,0,1,1,0,0,0,-5,0,0,-5,0,0,0,1,0,1,1,0
3,-5,1,-3,5,0,0,5,0,-1,-5,1,1,5,0,0,0,0,1,-5,1,1,-5,1,0,5,1,0,5,0,0
1,5,1,0,-5,0,1,5,1,0,5,0,0,5,1,1,5,1,0,-5,0,1,1,0,1,-5,1,1,-5,0,0
1,-5,0,0,5,0,0,5,1,1,5,1,0,-5,1,1,-5,0,1,-5,0,1,-5,1,1,-5,1,1,5,0,0
1,-5,0,0,5,0,0,-5,1,0,5,1,0,5,1,0,5,1,1,1,0,0,5,1,0,-5,1,1,5,1,0
1,-5,0,0,-5,0,0,-5,1,1,-5,1,0,5,0,0,5,1,1,-5,0,0,5,1,0,-5,0,0,5,1,0
2,5,1,0,5,0,0,-5,1,0,5,1,0,5,0,0,0,0,0,5,0,0,-5,0,0,-5,1,1,-5,0,0
1,-5,1,1,-5,1,1,5,1,0,5,1,1,5,0,0,-5,1,1,-5,1,0,-5,1,1,0,0,1,-5,0,0
1,5,0,0,-5,0,0,-5,1,0,5,1,0,0,0,0,0,0,1,-5,0,0,-5,1,0,5,0,1,5,1,0
1,-5,1,0,5,0,0,5,1,0,-5,1,0,5,1,0,1,1,1,5,1,1,-5,1,1,-5,1,0,-5,0,0
2,0,0,0,5,0,0,-5,1,1,-5,1,0,5,1,1,5,0,1,-5,0,1,-5,1,1,-5,1,1,5,0,0
1,-5,1,0,-5,0,0,-5,2,1,-1,1,0,5,0,0,-5,1,0,5,0,1,5,1,0,-5,1,1,-5,0,0
1,-5,1,0,5,0,0,5,1,1,-5,1,0,5,0,0,5,1,0,5,0,1,-5,1,1,5,1,0,-5,0,0
1,0,1,0,0,0,0,-5,1,1,-5,1,0,-5,0,0,-5,0,1,5,0,0,-5,1,1,0,1,1,-5,1,0
1,-5,1,0,5,0,0,-5,1,1,5,1,0,-5,1,0,5,0,1,-5,0,1,5,1,0,5,0,1,-5,1,0
2,-5,0,0,5,0,0,5,1,1,5,1,0,-5,0,0,-5,1,1,5,0,0,-5,1,0,5,1,1,-5,1,0
2,-5,0,0,5,0,0,5,1,1,5,1,1,5,0,1,-5,0,1,-5,1,0,5,1,1,-5,1,1,-5,1,0
1,-5,1,0,-5,0,0,5,1,1,-5,1,0,-5,1,0,5,0,1,5,0,1,-5,1,1,5,1,0,-5,1,0
2,-5,0,0,5,0,0,5,1,1,-5,1,0,5,0,1,-5,0,1,5,1,0,5,1,1,-5,1,1,5,1,0
3,-5,0,0,-5,0,0,-5,2,1,5,1,0,-5,0,1,-5,0,1,-5,1,1,-5,1,1,5,1,1,-5,0,0
1,5,0,0,1,0,0,-5,1,1,-5,1,0,-5,0,0,-5,1,1,-5,0,1,5,1,0,5,1,1,-5,0,0
1,5,1,0,-5,0,0,5,1,1,5,1,0,5,0,0,1,0,1,5,0,0,5,1,0,-5,0,1,1,0,0
1,0,1,0,0,1,0,-5,1,0,0,1,0,-5,0,0,0,1,0,0,0,0,1,1,0,1,1,0,-5,0,0
1,0,1,0,5,0,0,5,0,1,5,0,0,0,0,0,-5,0,0,-5,0,1,-5,1,0,5,1,0,-5,0,0
1,-5,1,0,5,0,0,5,1,1,0,1,0,5,0,0,-5,0,1,-5,1,0,-5,1,1,-5,1,1,-5,1,0
1,0,0,0,-5,0,0,-5,1,0,5,1,0,-5,0,0,-5,0,1,1,0,0,-5,1,0,0,0,1,-5,1,0
1,5,1,0,5,0,0,5,1,1,5,1,1,1,0,1,-5,0,1,5,1,0,-5,1,1,1,1,1,-5,1,0
2,-5,0,0,-5,0,0,5,1,1,5,1,0,5,0,1,-5,0,0,-5,0,0,5,1,1,0,1,1,-5,1,0
1,0,0,0,1,1,0,0,1,0,5,1,0,-5,0,0,5,0,1,5,1,1,0,1,0,0,1,1,0,1,0
1,-5,1,1,5,0,0,-5,1,0,-5,1,0,5,0,0,-5,0,1,5,0,1,5,1,1,0,1,1,1,1,0
1,5,0,0,-5,0,0,-5,1,0,5,1,0,5,0,0,-5,0,1,-5,0,0,-5,1,0,5,0,1,-5,1,0
1,0,1,0,5,0,0,5,1,1,-5,1,0,1,0,0,-5,0,1,5,0,1,-5,1,0,5,0,1,-5,1,0
1,5,1,0,-5,0,0,-5,1,1,0,0,0,5,0,0,-5,1,1,5,0,0,5,1,0,-5,1,1,5,1,0
1,-5,1,0,5,0,0,-5,1,1,5,1,0,5,1,0,-5,0,1,5,0,0,5,1,0,-5,0,1,-5,1,0
1,0,0,0,-5,0,0,-5,1,1,-5,1,0,0,0,0,5,1,1,0,0,0,5,1,1,-5,0,1,5,1,0
1,5,0,0,5,0,0,5,1,1,5,1,0,5,1,1,5,1,0,-5,0,0,-5,1,0,5,0,0,-5,0,0
1,-5,1,0,5,0,0,-5,1,1,5,1,1,-5,0,0,5,0,1,-5,1,1,-5,1,0,5,1,1,-5,1,0
1,1,1,0,5,0,0,5,1,0,5,1,0,-5,0,0,1,0,0,-5,0,1,-5,1,1,5,1,0,-5,1,0
1,5,1,0,5,0,0,-5,1,1,-5,1,0,5,0,1,-5,0,0,-5,1,0,-5,1,1,5,1,1,-5,1,0
1,5,1,1,5,0,0,5,1,1,-5,1,0,5,0,0,-5,0,1,-5,0,0,1,1,1,0,0,0,-5,1,0
1,5,1,0,-5,0,0,-5,1,0,0,1,0,1,0,0,1,0,1,1,0,0,5,1,1,5,1,1,-5,1,0
1,-5,1,0,-5,0,0,-5,1,1,0,1,0,5,1,0,-5,0,1,5,0,0,5,1,0,5,1,1,-5,1,0
2,5,1,0,5,0,0,5,1,1,-5,1,0,0,0,0,5,0,1,-5,1,0,5,1,1,-5,1,1,-5,1,0
2,-5,0,0,5,0,0,-5,1,0,5,1,0,5,0,0,-5,0,1,-5,0,0,5,1,0,-5,0,0,-5,1,0
1,-5,0,0,-5,0,0,5,1,0,5,1,0,5,1,0,1,0,1,5,0,0,-5,1,1,-5,1,1,-5,1,0
2,5,1,0,5,0,0,-5,1,0,5,1,1,-5,1,0,5,0,1,-5,0,0,-5,0,1,5,0,1,5,1,0
2,-5,0,0,5,0,0,-5,1,0,5,1,1,-5,0,1,-5,0,1,-5,1,1,-5,1,1,5,1,1,-5,1,0
2,-5,1,0,5,0,0,5,1,1,5,1,0,5,0,1,-5,0,1,5,1,0,5,1,2,-5,1,2,-5,1,0
3,-5,1,0,-5,1,0,5,1,-1,-5,1,1,5,1,0,5,0,1,-5,1,1,-5,1,0,-5,1,1,-5,1,0
4,5,0,1,-5,0,0,-5,1,0,-5,1,1,-5,0,1,-5,1,0,-5,0,1,5,1,1,5,1,0,5,0,0
3,-5,0,0,5,0,0,-5,0,0,5,0,0,5,1,0,-5,0,1,-5,0,1,-5,1,0,5,1,1,-5,1,0
1,0,0,1,1,0,0,-5,0,0,5,1,1,0,0,1,-5,0,1,5,0,0,0,0,1,0,0,1,1,1,1
1,0,1,1,5,0,0,5,1,1,5,1,1,0,0,1,-5,0,1,5,1,0,5,0,1,-5,0,1,1,1,1
1,0,0,1,5,0,0,-5,0,0,5,1,1,-5,1,1,0,0,1,1,1,0,5,0,1,0,0,1,-5,0,1
1,5,1,1,5,0,0,-5,0,1,5,1,1,1,0,1,-5,1,1,5,0,1,-5,0,0,5,1,1,-5,0,1
1,0,1,1,1,0,0,1,0,1,5,1,1,5,1,1,0,0,0,-5,0,0,0,0,1,0,1,1,1,0,1
1,0,0,1,5,0,0,5,1,1,5,1,1,0,0,1,-5,0,1,5,0,0,5,0,1,5,0,1,-5,1,1
1,0,1,1,-5,0,0,5,1,1,5,1,0,0,0,1,-5,0,0,0,0,0,5,0,1,0,0,1,1,1,1
1,0,1,0,0,0,0,5,0,0,5,1,1,0,0,0,-5,1,1,-5,0,0,1,0,1,-5,1,0,1,0,1
4,5,1,0,5,0,0,5,0,-1,5,1,2,5,0,1,5,-1,2,-5,1,1,-5,1,0,5,2,1,-5,0,1
1,-5,0,1,5,0,0,1,0,0,0,1,1,0,1,1,5,0,0,5,0,0,0,0,1,5,1,1,-5,0,1
1,0,1,0,1,0,0,-5,1,0,5,1,1,5,0,1,0,0,0,5,0,1,0,0,1,5,1,1,-5,0,1
1,0,1,1,1,0,0,-5,0,1,-5,1,1,1,0,1,0,1,1,0,0,1,5,0,1,1,1,1,5,0,1
1,0,1,0,-5,1,0,-5,0,0,-5,1,1,5,0,1,-5,0,1,-5,0,0,5,1,0,5,1,0,-5,0,1
1,5,1,1,5,0,0,-5,0,1,5,1,1,5,0,1,-5,1,1,-5,0,0,-5,0,1,-5,1,1,-5,0,1
1,0,0,1,1,0,0,-5,0,0,0,1,1,0,1,1,0,0,0,1,0,1,5,0,1,0,1,1,0,0,1
1,5,1,1,5,0,0,5,0,0,5,0,1,1,0,1,-5,1,1,-5,0,0,5,1,1,5,1,1,-5,0,1
1,0,0,1,5,0,0,-5,0,0,-5,1,1,0,0,1,5,0,1,1,0,1,5,0,1,0,1,1,-5,0,1
2,-5,1,1,5,1,1,-5,0,0,0,1,1,-5,0,1,-5,1,1,5,1,1,5,0,0,5,1,0,-5,0,1
1,0,1,1,-5,0,0,-5,0,0,-5,1,1,-5,0,1,-5,1,1,5,0,0,-5,1,1,5,1,1,-5,1,1
1,0,1,1,-5,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,5,0,1,0,1,1,-5,0,1
1,0,1,1,5,0,0,-5,0,1,5,1,1,0,0,1,0,1,1,-5,0,0,1,0,1,-5,1,1,-5,1,1
1,0,1,1,5,0,0,5,1,1,-5,1,1,0,0,1,-5,1,1,-5,0,0,5,0,1,5,1,1,1,0,1
1,-5,1,1,1,1,1,5,0,0,5,1,1,0,1,1,0,1,1,-5,1,0,1,0,1,0,0,1,-5,1,1
1,5,1,1,5,1,1,-5,0,0,5,1,1,0,0,1,0,0,1,5,1,0,5,1,1,5,0,1,5,1,1
1,0,0,1,5,0,0,-5,0,0,-5,1,1,5,0,1,0,0,1,1,0,0,-5,0,1,0,1,1,-5,0,1
1,0,1,1,1,0,0,1,1,0,0,1,1,-5,0,1,-5,0,1,5,1,1,0,0,1,0,1,1,0,0,1
1,-5,1,1,5,0,0,5,0,1,-5,1,1,-5,0,1,-5,1,1,5,0,1,-5,0,1,5,1,1,-5,0,1
1,0,1,1,1,0,0,5,0,1,-5,1,1,5,0,1,0,1,1,5,0,0,0,0,1,5,1,1,0,0,1
1,0,1,1,5,0,0,1,0,0,0,1,1,0,1,1,1,0,1,5,0,0,-5,0,1,0,0,1,-5,0,1
1,5,1,1,1,0,0,-5,0,1,5,1,1,-5,0,1,-5,0,0,5,1,0,-5,0,1,-5,1,1,1,0,1
2,5,0,1,-5,0,0,-5,0,0,-5,1,1,0,1,1,-5,0,1,5,0,0,5,0,1,-5,0,1,-5,0,1
